,Title,NSE,Strength,Weakness,Oppurtunity,Threat
32,Asian Paints,ASIANPAINT,"['High Piotroski Score - Companies with strong financials', 'New 52 Week High', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with Low Debt', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with decreasing Promoter pledge', 'FII / FPI or Institutions increasing their shareholding', 'Strong Momentum: Price above short, medium and long term moving averages']","['MFs decreased their shareholding last quarter', 'Degrowth in Revenue and Profit', 'Declining Net Cash Flow : Companies not able to generate net cash']","['Brokers upgraded recommendation or target price in the past three months', 'Negative to Positive growth in Sales and Profit with Strong Price momentum', 'RSI indicating price strength']","['Recent Broker Downgrades in Reco or Target Price', 'Companies where promoters have increased their pledged stocks', 'Stocks with high PE (PE > 40)']"
33,Aster DM Health,ASTERDM,"['Bullish Harami  (Bullish Reversal)', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding']","['Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Revenue every quarter for the past 2 quarters', 'Declining profits every quarter for the past 2 quarters', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']",['Positive Breakout First Resistance ( LTP > R1)'],"['Upcoming Results for Nifty500 with Declining Share Price Over the Week', 'Profit to Loss Companies', 'Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)']"
34,Astral Poly Tec,ASTRAL,"['Company with Low Debt', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Annual Net Profits improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding']","['MFs decreased their shareholding last quarter', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Revenue every quarter for the past 3 quarters', 'Declining profits every quarter for the past 3 quarters', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']",['Brokers upgraded recommendation or target price in the past three months'],"['Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Increasing Trend in Non-Core Income', 'Stocks with high PE (PE > 40)']"
35,AstraZeneca,ASTRAZEN,"['High Piotroski Score - Companies with strong financials', 'Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with No Debt', 'Increasing profits every quarter for the past 2 quarters', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding']","['Companies with growing costs YoY for long term projects', 'MFs decreased their shareholding last quarter', 'Declining Net Cash Flow : Companies not able to generate net cash']",['Highest Recovery from 52 Week Low'],"['Increasing Trend in Non-Core Income', 'Stocks with high PE (PE > 40)']"
36,Atul,ATUL,"['Strong QoQ EPS Growth in recent results', 'Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Company with Low Debt', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with decreasing Promoter pledge', 'FII / FPI or Institutions increasing their shareholding', 'Strong Momentum: Price above short, medium and long term moving averages']","['Companies with growing costs YoY for long term projects', 'MACD Crossover Below Signal Line', 'MFs decreased their shareholding last quarter', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Fall in Quarterly Revenue and Net Profit (YoY)']","['Brokers upgraded recommendation or target price in the past three months', 'Positive Breakout First Resistance ( LTP > R1)', 'Negative to Positive growth in Sales and Profit with Strong Price momentum', 'Highest Recovery from 52 Week Low']",['Companies where promoters have increased their pledged stocks']
37,AU Small Financ,AUBANK,"['Company with high TTM EPS Growth', 'Strong Annual EPS Growth', 'Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Increasing Revenue every Quarter for the past 4 Quarters', 'Increasing profits every quarter for the past 2 quarters', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Recent Results : Growth in Operating Profit with increase in operating margins (YoY)', 'Companies with rising net profit margins - quarterly as well as TTM basis', 'Strong Momentum: Price above short, medium and long term moving averages']","['Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years', 'Companies with High Debt', 'Promoter decreasing their shareholding']","['Brokers upgraded recommendation or target price in the past three months', 'Highest Recovery from 52 Week Low', 'Decrease in NPA in recent results', 'Decrease in Provision in recent results']",['Increasing Trend in Non-Core Income']
38,Aurobindo Pharm,AUROPHARMA,"['High Piotroski Score - Companies with strong financials', 'Company with high TTM EPS Growth', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with Low Debt', 'Book Value per share Improving for last 2 years', 'FII / FPI or Institutions increasing their shareholding']","['Negative Breakdown First Support (LTP < S1)', 'MFs decreased their shareholding last quarter', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Decline in Net Profit with falling Profit Margin (QoQ)']","['Rising Delivery Percentage Compared to Previous Day and Month, Strong Volumes', 'Brokers upgraded recommendation or target price in the past three months', 'Highest Recovery from 52 Week Low']","['Recent Broker Downgrades in Reco or Target Price', 'Red Flags: Firms linked to ongoing regulatory investigations/legal cases', 'Companies where promoters have increased their pledged stocks', 'Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Increasing Trend in Non-Core Income']"
39,Avanti Feeds,AVANTIFEED,"['Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with Low Debt', 'Increasing profits every quarter for the past 2 quarters', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding']","['Companies with growing costs YoY for long term projects', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years', 'Declining Net Cash Flow : Companies not able to generate net cash']","['Rising Delivery Percentage Compared to Previous Day and Month, Strong Volumes', 'Brokers upgraded recommendation or target price in the past three months', 'Positive Breakout Third Resistance ( LTP > R3)']",['Increasing Trend in Non-Core Income']
40,Avenue Supermar,DMART,"['Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with Low Debt', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'Strong Momentum: Price above short, medium and long term moving averages']","['Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Brokers upgraded recommendation or target price in the past three months', 'Negative to Positive growth in Sales and Profit with Strong Price momentum', 'RSI indicating price strength']",['Stocks with high PE (PE > 40)']
41,Axis Bank,AXISBANK,"['Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Increasing profits every quarter for the past 2 quarters', 'Company able to generate Net Cash - Improving Net Cash Flow for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Stock gained more than 20% in one month', 'Companies with rising net profit margins - quarterly as well as TTM basis', 'Strong Momentum: Price above short, medium and long term moving averages']","['MFs decreased their shareholding last quarter', 'Companies with High Debt', 'Promoter decreasing their shareholding']","['Rising Delivery Percentage Compared to Previous Day and Month, Strong Volumes', 'Brokers upgraded recommendation or target price in the past three months', 'Decrease in Provision in recent results', 'RSI indicating price strength', 'Insiders bought stocks']","['Company with negative growth and promoters decreasing shareholding QoQ', 'Increasing Trend in Non-Core Income', 'Stocks with high PE (PE > 40)', 'Increase in NPA in Recent Results', 'Insiders sold stocks']"
